id	ini	fn	pt	单字	漢字_程序改名	IPA_程序改名	注釋_程序改名
478	ʦʰ	y	33	柱	ʦʰy33	ʦʰy1a	柱子
479	ʦʰ	y	21	住	ʦʰy21	ʦʰy3	～宿
480	ȵ	əu	451	雛	ȵəu451	ȵəu5	～形
481	ɬ	ɔn	451	數	ɬɔn451	ɬɔn5	～落，～星星[动]
482	ɬ	u	451	數	ɬu451	ɬu5	～字，～学
483	ʦ	y	33	朱	ʦy33	ʦy1a	姓
484	ʦ	y	33	珠	ʦy33	ʦy1a	珍～
485	ʦ	y	21	主	ʦy21	ʦy3	～人，地～
486	ʦ	y	451	注	ʦy451	ʦy5	～意
487	ʦʰ	y	33	蛀	ʦʰy33	ʦʰy1a	～虫
488	ʦ	y	451	鑄	ʦy451	ʦy5	～铁，～钢
489	kʰ	y	33	樞	kʰy33	kʰy1a	中～，～纽
490	s	y	33	輸	sy33	sy1a	～赢
491	ɬ	ɐp	45	戍	ɬɐp45	ɬɐp7	～边
492	s	y	33	輸	sy33	sy1a	运～
493	s	y	213	殊	sy213	sy2	特～
494	s	y	21	豎	sy21	sy3	横～
495	s	y	21	樹	sy21	sy3	～立，种～
496	j	y	213	儒	jy213	jy2	～家思想
497	ȵ	ui	21	乳	ȵui21	ȵui3	哺～，母～[文]
498	ȵ	ɐp	45	乳	ȵɐp45	ȵɐp7	食～（吃奶），麦～精[训]
499	kʰ	y	33	拘	kʰy33	kʰy1a	～留
500	kʰ	y	21	俱	kʰy21	kʰy3	～备，～乐部
501	k	ui	21	矩	kui21	kui3	规～，～形
502	k	y	451	句	ky451	ky5	～号
503	kʰ	y	33	區	kʰy33	kʰy1a	地～，～别
504	kʰ	y	33	驅	kʰy33	kʰy1a	先～，～动
505	kʰ	y	21	具	kʰy21	kʰy3	～体
506	kʰ	y	21	懼	kʰy21	kʰy3	恐～
507	j	y	213	愚	jy213	jy2	～蠢，～公移山
508	ʔ	ŋ̍	213	虞	ʔŋ̍213	ʔŋ̍2	姓，～姬
509	j	y	213	娛	jy213	jy2	～乐
510	j	y	21	遇	jy21	jy3	遭～，相～，～到
511	j	y	21	寓	jy21	jy3	～言；公～
512	j	y	33	迂	jy33	jy1a	～回，～腐
513	j	y	33	于	jy33	jy1a	姓；等～
515	s	ui	21	雨	sui21	sui3	落～，谷～，～水
516	j	y	21	宇	jy21	jy3	～宙
518	j	y	21	羽	jy21	jy3	～毛球
519	v	u	451	芋	vu451	vu5	芋头
520	j	y	213	逾	jy213	jy2	超过，～期
522	j	y	21	愈	jy21	jy3	病～
523	j	y	21	喻	jy21	jy3	比～
524	j	y	21	裕	jy21	jy3	富～
525	ŋ	ɔn	451	獃	ŋɔn451	ŋɔn5	*书～子，发～[文]
526	ŋ	ɔn	451	□	ŋɔn451	ŋɔn5	发呆：发~
527	t	ai	451	戴	tai451	tai5	姓；～帽
528	tʰ	ɔi	33	胎	tʰɔi33	tʰɔi1a	双胞～，～盘
529	tʰ	ɔi	213	台	tʰɔi213	tʰɔi2	天台
530	tʰ	ai	451	態	tʰai451	tʰai5	～度，心～
531	tʰ	ai	451	貸	tʰai451	tʰai5	～款
532	tʰ	ɔi	213	臺	tʰɔi213	tʰɔi2	～湾
533	tʰ	ɔi	213	苔	tʰɔi213	tʰɔi2	青～，舌～
534	tʰ	ɔi	213	抬	tʰɔi213	tʰɔi2	两个人抬
535	tʰ	ɔi	21	待	tʰɔi21	tʰɔi3	等～，～人接物
536	tʰ	ɔi	213	怠	tʰɔi213	tʰɔi2	～慢，～工
538	tʰ	ɔi	21	代	tʰɔi21	tʰɔi3	～替，～表
539	tʰ	i	21	逮	tʰi21	tʰi3	～捕
540	tʰ	ɔi	21	袋	tʰɔi21	tʰɔi3	袋子
541	n	ai	33	乃	nai33	nai1a	安～近；人名用字
542	n	ai	21	耐	nai21	nai3	～力，～心，忍～
543	l	ɔi	213	來	lɔi213	lɔi2	过～，～去
544	ʦ	ɔi	33	災	ʦɔi33	ʦɔi1a	水～
545	ʦ	ɔi	33	栽	ʦɔi33	ʦɔi1a	种，～培
546	ʦ	ɔi	21	宰	ʦɔi21	ʦɔi3	～相
547	ʦ	ɔi	451	載	ʦɔi451	ʦɔi5	一年半～
548	ʦ	ɔi	451	再	ʦɔi451	ʦɔi5	～来
550	ʦʰ	ai	33	猜	ʦʰai33	ʦʰai1a	～谜
551	ʦʰ	ɔi	21	彩	ʦʰɔi21	ʦʰɔi3	～色
552	ʦʰ	ɔi	21	採	ʦʰɔi21	ʦʰɔi3	～集
553	ʦʰ	ɔi	21	睬	ʦʰɔi21	ʦʰɔi3	理睬
554	ʦʰ	ɔi	451	菜	ʦʰɔi451	ʦʰɔi5	煮～，青～
555	ʦʰ	ɔi	213	才	ʦʰɔi213	ʦʰɔi2	人～，～气，秀～
556	ʦʰ	ɔi	213	材	ʦʰɔi213	ʦʰɔi2	材，药～，～料
557	ʦʰ	ɔi	213	財	ʦʰɔi213	ʦʰɔi2	财，发～
558	ʦʰ	ɔi	213	裁	ʦʰɔi213	ʦʰɔi2	裁，～纸，剪～
559	tʰ	ɔi	213	纔	tʰɔi213	tʰɔi2	刚～
560	ʦʰ	ɔi	21	在	ʦʰɔi21	ʦʰɔi3	实～，现～[文]
561	ʦʰ	ɔi	33	在	ʦʰɔi33	ʦʰɔi1a	存在，还～[白]
562	ʦ	ɔi	451	載	ʦɔi451	ʦɔi5	满～而归
563	ɬ	ɔi	33	腮	ɬɔi33	ɬɔi1a	～腺炎，～红
564	ɬ	ɔi	33	鰓	ɬɔi33	ɬɔi1a	鱼鳃
565	ɬ	ɔi	451	賽	ɬɔi451	ɬɔi5	比～
566	k	ɔi	33	該	kɔi33	kɔi1a	应～
567	k	ɔi	21	改	kɔi21	kɔi3	修～，～正
568	k	ɔi	451	概	kɔi451	kɔi5	大～，～括
569	kʰ	ɔi	451	溉	kʰɔi451	kʰɔi5	灌～
570	h	ɔi	33	開	hɔi33	hɔi1a	公～，～门
571	ŋ	ɔi	21	凱	ŋɔi21	ŋɔi3	～旋
572	kʰ	ɔi	451	慨	kʰɔi451	kʰɔi5	慷～，感～
573	kʰ	am	21	咳	kʰam21	kʰam3	～嗽，止～糖浆
574	ŋ	ɔi	213	呆	ŋɔi213	ŋɔi2	～板
575	ŋ	ɔi	21	礙	ŋɔi21	ŋɔi3	妨～
576	h	ɔi	21	海	hɔi21	hɔi3	大～
577	h	ɔi	213	孩	hɔi213	hɔi2	～童
578	h	ɔi	21	亥	hɔi21	hɔi3	辛～革命
579	ʔ	ɔi	33	哀	ʔɔi33	ʔɔi1a	悲～
580	ʔ	ai	33	埃	ʔai33	ʔai1a	尘～，～及
582	p	ei	451	貝	pei451	pei5	宝～
583	p	ei	451	貝	pei451	pei5	川～，～壳
584	pʰ	ei	451	沛	pʰei451	pʰei5	充～
585	t	ai	451	帶	tai451	tai5	鞋～
586	tʰ	ai	451	太	tʰai451	tʰai5	老～婆
587	tʰ	ai	451	泰	tʰai451	tʰai5	～山
588	tʰ	ai	21	大	tʰai21	tʰai3	大小
590	l	ai	21	賴	lai21	lai3	依～，无～；姓
591	l	ai	21	癩	lai21	lai3	～蛤蟆[文]
592	l	ai	451	癩	lai451	lai5	～哥（癞疮）[白]
593	ʦʰ	ɔi	451	蔡	ʦʰɔi451	ʦʰɔi5	姓
594	k	ɔi	451	蓋	kɔi451	kɔi5	～被[动]；盖子[名]
595	k	ɔi	451	丐	kɔi451	kɔi5	～帮
596	ʔ	ai	451	艾	ʔai451	ʔai5	姓；～滋病
597	ŋ	ɛ	451	艾	ŋɛ451	ŋɛ5	艾草
598	h	ɔi	21	害	hɔi21	hɔi3	～人
599	ʔ	ɔi	21	藹	ʔɔi21	ʔɔi3	和～，宋～龄
601	pʰ	ai	213	排	pʰai213	pʰai2	～队
602	h	oŋ	33	□	hoŋ33	hoŋ1a	埋伏
603	ʦ	ai	33	齋	ʦai33	ʦai1a	食～（吃斋）
604	ʦʰ	ɔi	213	豺	ʦʰɔi213	ʦʰɔi2	～狼
605	k	ai	33	皆	kai33	kai1a	～大欢喜
606	k	ai	33	階	kai33	kai1a	台～，～级
607	k	ai	451	介	kai451	kai5	～绍，中～
608	k	ai	451	界	kai451	kai5	世～
609	k	ai	451	芥	kai451	kai5	～菜
610	k	ai	451	尬	kai451	kai5	尴～
611	k	ai	451	疥	kai451	kai5	～疮
612	k	ai	451	屆	kai451	kai5	第一～
613	k	ai	451	戒	kai451	kai5	～烟，猪八～
614	k	ai	33	楷	kai33	kai1a	～书，～模
615	h	ai	213	諧	hai213	hai2	和～
616	h	ɔi	21	駭	hɔi21	hɔi3	惊～，～人听闻
617	h	ai	21	械	hai21	hai3	机～
618	ʔ	ai	213	挨	ʔai213	ʔai2	～打，～近
619	p	ai	21	擺	pai21	pai3	摇～
620	pʰ	ai	451	派	pʰai451	pʰai5	正～，～出所
621	pʰ	ai	213	牌	pʰai213	pʰai2	～坊，～匾[文]
622	pʰ	ai	213	牌	pʰai213	pʰai2	打～[白，训]
623	pʰ	ai	213	㵺	pʰai213	pʰai2	竹排
625	pʰ	ai	21	稗	pʰai21	pʰai3	～草
626	m	ai	21	買	mai21	mai3	～卖
627	m	ai	33	賣	mai33	mai1a	买～
628	n	ai	451	奶	nai451	nai5	二～，～牛
629	ʦ	ai	451	債	ʦai451	ʦai5	欠～
630	ʦʰ	a	45	釵	ʦʰa45	ʦʰa1b	宝～
631	ʦʰ	ai	33	差	ʦʰai33	ʦʰai1a	出～
632	ʦʰ	ai	213	柴	ʦʰai213	ʦʰai2	姓；火～
633	s	ia	33	篩	sia33	sia1a	～选，～米
634	s	a	21	灑	sa21	sa3	潇～，～水
635	k	ai	33	佳	kai33	kai1a	～人，～节
636	k	ai	33	街	kai33	kai1a	～路
637	k	ai	21	解	kai21	kai3	～释，讲～[文]
638	k	ai	21	解	kai21	kai3	～开[白]
639	h	ai	21	懈	hai21	hai3	松～，坚持不～
640	ŋ	ai	213	涯	ŋai213	ŋai2	天～
641	ŋ	ai	213	崖	ŋai213	ŋai2	悬～
642	ŋ	ai	213	捱	ŋai213	ŋai2	难～，～苦
643	h	ai	213	鞋	hai213	hai2	布～
644	k	ai	21	解	kai21	kai3	懂了，理～，了～
645	h	ai	21	蟹	hai21	hai3	老～
646	ʔ	ai	21	矮	ʔai21	ʔai3	高矮
647	pʰ	ai	21	敗	pʰai21	pʰai3	失～
648	m	an	21	邁	man21	man3	豪～，～步
649	tʰ	ai	21	寨	tʰai21	tʰai3	山～，大～
650	p	i	451	蔽	pi451	pi5	隐～
651	pʰ	i	21	弊	pʰi21	pʰi3	作～
652	pʰ	i	21	幣	pʰi21	pʰi3	人民～
653	p	i	21	斃	pi21	pi3	枪～
654	l	ɛ	33	例	lɛ33	lɛ1a	举～，～外
655	l	i	21	厲	li21	li3	严～，～害
656	l	i	21	勵	li21	li3	鼓～
657	ʦ	ɛ	451	祭	ʦɛ451	ʦɛ5	～祀
658	ʦ	ɛ	451	際	ʦɛ451	ʦɛ5	国～
659	ʦʰ	ɛ	21	滞	ʦʰɛ21	ʦʰɛ3	停～，湿～（中医）
660	ʦ	ɛ	451	制	ʦɛ451	ʦɛ5	～度
661	ʦ	ɛ	451	製	ʦɛ451	ʦɛ5	～造
662	s	ɛ	451	世	sɛ451	sɛ5	～界
663	s	ɛ	451	世	sɛ451	sɛ5	出～
664	s	ɛ	451	勢	sɛ451	sɛ5	～力，有权有～
665	ʦ	ɛ	451	誓	ʦɛ451	ʦɛ5	发～
666	s	ɛ	21	逝	sɛ21	sɛ3	～世
667	ŋ	ɛ	21	藝	ŋɛ21	ŋɛ3	～术，文～晚会
668	p	i	33	蓖	pi33	pi1a	～麻
669	p	i	451	閉	pi451	pi5	关～
670	m	iɛt	33	篾	miɛt33	miɛt1a	蒸笼中的竹屉
671	pʰ	ɛ	33	批	pʰɛ33	pʰɛ1a	～评，大～
672	pʰ	ɛ	33	批	pʰɛ33	pʰɛ1a	螺丝～
673	p	i	451	陛	pi451	pi5	～下
674	m	i	213	迷	mi213	mi2	入～，～路
675	m	i	21	米	mi21	mi3	大米
676	p	i	213	謎	pi213	pi2	～语，猜～
677	tʰ	ɛ	33	低	tʰɛ33	tʰɛ1a	高～
678	tʰ	i	213	堤	tʰi213	tʰi2	河～，～坝
679	t	ɛ	21	底	tɛ21	tɛ3	水～
680	t	ɛ	21	抵	tɛ21	tɛ3	～押
681	t	ɛ	21	抵	tɛ21	tɛ3	用手抵挡
682	t	i	451	帝	ti451	ti5	皇～
683	tʰ	ɔi	33	梯	tʰɔi33	tʰɔi1a	楼～
684	t	i	451	蒂	ti451	ti5	花～，并～莲
685	tʰ	i	21	體	tʰi21	tʰi3	～育，身～
686	tʰ	ɛ	451	替	tʰɛ451	tʰɛ5	代～，～身
687	tʰ	ɛ	451	涕	tʰɛ451	tʰɛ5	～泪纵横
688	tʰ	ɛ	451	剃	tʰɛ451	tʰɛ5	～头
689	tʰ	ɔ	45	拖	tʰɔ45	tʰɔ1b	抽屜
690	tʰ	i	213	題	tʰi213	tʰi2	～目，难～
691	tʰ	i	213	提	tʰi213	tʰi2	～问，～醒
692	tʰ	i	213	蹄	tʰi213	tʰi2	马～
693	tʰ	i	213	啼	tʰi213	tʰi2	哭哭～～[文]
694	tʰ	ɛ	213	啼	tʰɛ213	tʰɛ2	鸡～[白]
695	tʰ	i	21	弟	tʰi21	tʰi3	兄～[文]
696	tʰ	i	21	弟	tʰi21	tʰi3	弟弟，老～[白]
697	tʰ	i	21	第	tʰi21	tʰi3	～一，门～
698	tʰ	i	21	遞	tʰi21	tʰi3	传～，邮～员
699	n	ɛ	213	泥	nɛ213	nɛ2	水～，地～（地板）
700	l	ɛ	213	犁	lɛ213	lɛ2	耕田用具
701	l	ɛ	213	黎	lɛ213	lɛ2	～民，～明；姓
702	l	i	33	禮	li33	li1a	～貌
703	l	ɛ	21	麗	lɛ21	lɛ3	秀～
704	tʰ	i	21	隸	tʰi21	tʰi3	奴～，～属
705	ʦ	ɛ	33	擠	ʦɛ33	ʦɛ1a	拥～，～时间
706	ʦ	ɛ	451	濟	ʦɛ451	ʦɛ5	～公，经～
707	ʦʰ	i	33	妻	ʦʰi33	ʦʰi1a	夫～
708	tʰ	ɛ	451	砌	tʰɛ451	tʰɛ5	～墙
709	ʦʰ	ɛ	213	齊	ʦʰɛ213	ʦʰɛ2	～国[文]
710	tʰ	ɛ	213	齊	tʰɛ213	tʰɛ2	整～，放～，来～[白]
711	ʦʰ	i	45	臍	ʦʰi45	ʦʰi1b	肚～，～带
712	ʦ	ɛ	33	劑	ʦɛ33	ʦɛ1a	一～药，药～
713	ɬ	i	33	西	ɬi33	ɬi1a	东西南北
714	ɬ	i	33	棲	ɬi33	ɬi1a	两～动物
715	ɬ	i	33	犀	ɬi33	ɬi1a	～牛
716	ɬ	ɛ	21	洗	ɬɛ21	ɬɛ3	～菜，～衣机
717	ɬ	ɛ	451	細	ɬɛ451	ɬɛ5	粗细，大小
718	ɬ	ɛ	451	婿	ɬɛ451	ɬɛ5	女～
719	k	ɛ	33	雞	kɛ33	kɛ1a	～公（公鸡）
720	kʰ	ɛ	45	稽	kʰɛ45	kʰɛ1b	～查，滑～
721	k	ɛ	451	計	kɛ451	kɛ5	～算，会～
722	k	ɛ	451	繼	kɛ451	kɛ5	～续，～承
723	k	ɛ	33	繫	kɛ33	kɛ1a	～皮带
724	k	ɛ	451	髻	kɛ451	kɛ5	发髻；鸡～（鸡冠）
725	kʰ	ɛ	33	溪	kʰɛ33	kʰɛ1a	～水
726	tʰ	ɛ	21	啟	tʰɛ21	tʰɛ3	～发
727	kʰ	ɛ	451	契	kʰɛ451	kʰɛ5	房～，～约
728	ȵ	i	213	倪	ȵi213	ȵi2	姓，～萍
729	kʰ	ɛ	33	奚	kʰɛ33	kʰɛ1a	～落
730	kʰ	ɔi	33	兮	kʰɔi33	kʰɔi1a	神经～～
731	h	ɐi	451	系	hɐi451	hɐi5	中文～，～统
732	h	ɐi	451	繫	hɐi451	hɐi5	联～
733	h	ɐi	451	係	hɐi451	hɐi5	关～[文]
734	h	ɐi	451	係	hɐi451	hɐi5	是[白]
735	p	ei	45	杯	pei45	pei1b	茶～
736	p	ei	451	輩	pei451	pei5	～分，长～
737	p	ei	451	背	pei451	pei5	违～，后～
738	pʰ	i	33	胚	pʰi33	pʰi1a	～胎
739	pʰ	ɔi	33	坯	pʰɔi33	pʰɔi1a	泥～，毛～房
740	pʰ	ei	451	配	pʰei451	pʰei5	分～，搭～
741	pʰ	ɔi	213	培	pʰɔi213	pʰɔi2	～训
742	pʰ	ɔi	213	陪	pʰɔi213	pʰɔi2	～同
743	pʰ	ɔi	213	賠	pʰɔi213	pʰɔi2	～钱
745	pʰ	ɔi	21	倍	pʰɔi21	pʰɔi3	～数
746	pʰ	ei	451	佩	pʰei451	pʰei5	～服
747	p	ɔi	451	背	pɔi451	pɔi5	～书
748	pʰ	ɔi	21	焙	pʰɔi21	pʰɔi3	～火
749	m	ɔi	213	梅	mɔi213	mɔi2	～花
750	m	ɔi	213	枚	mɔi213	mɔi2	两～
751	m	ɔi	213	媒	mɔi213	mɔi2	～人
752	m	ɔi	213	煤	mɔi213	mɔi2	烧～，～矿
753	m	ɔi	213	玫	mɔi213	mɔi2	～瑰
754	m	ei	33	每	mei33	mei1a	～只，～日
755	m	ɔi	213	莓	mɔi213	mɔi2	草～
756	m	ɔi	451	妹	mɔi451	mɔi5	妹妹，姊～，老～
757	m	ei	21	昧	mei21	mei3	愚～，拾金不～
758	t	ɔi	45	堆	tɔi45	tɔi1b	一～[量]，～放[动]
759	t	ui	451	對	tui451	tui5	～错；成双成～
760	t	ɔi	451	碓	tɔi451	tɔi5	舂米工具，踏～
761	tʰ	ui	33	推	tʰui33	tʰui1a	～荐，～动
762	tʰ	ui	21	腿	tʰui21	tʰui3	～部，火～
763	tʰ	ui	451	退	tʰui451	tʰui5	后～，～步[文]
764	tʰ	ui	451	退	tʰui451	tʰui5	向后退[白]
765	tʰ	ui	21	隊	tʰui21	tʰui3	～伍，排～
766	n	ɔi	21	內	nɔi21	nɔi3	～行，～外
767	l	ui	213	雷	lui213	lui2	打～，～公；姓
768	l	ui	21	累	lui21	lui3	劳～
769	ʦʰ	ui	33	催	ʦʰui33	ʦʰui1a	～促，～眠
770	tʰ	ui	33	崔	tʰui33	tʰui1a	姓，～莺莺
771	ʦʰ	ui	33	摧	ʦʰui33	ʦʰui1a	～残
772	tʰ	ui	21	罪	tʰui21	tʰui3	得～，犯～[文]
773	tʰ	ui	21	罪	tʰui21	tʰui3	～过（可怜、难受）[白]
774	ɬ	ui	451	碎	ɬui451	ɬui5	～布，破～
775	kʰ	ui	33	盔	kʰui33	kʰui1a	头～，～甲
776	v	ai	213	魁	vai213	vai2	～梧，花～
777	f	ɔi	33	恢	fɔi33	fɔi1a	～复
778	m	ɐn	45	塊	mɐn45	mɐn1b	一～钱
779	ŋ	ɐi	213	桅	ŋɐi213	ŋɐi2	～杆
780	f	ɔi	33	灰	fɔi33	fɔi1a	石～，～色
781	f	ɐi	21	賄	fɐi21	fɐi3	受～，～赂
782	f	ɐi	21	悔	fɐi21	fɐi3	后～
783	f	ɐi	21	晦	fɐi21	fɐi3	～气
784	f	ɐi	213	回	fɐi213	fɐi2	～想[文]
785	f	ɐi	213	回	fɐi213	fɐi2	～礼[白]
786	f	ɐi	213	茴	fɐi213	fɐi2	～香
787	f	ɐi	21	匯	fɐi21	fɐi3	～报，～款
788	kʰ	ui	451	潰	kʰui451	kʰui5	～疡，胃～疡
789	v	ɔi	33	煨	vɔi33	vɔi1a	～番薯
790	tʰ	ui	451	蜕	tʰui451	tʰui5	～变，～皮，～壳
791	tʰ	ui	451	兑	tʰui451	tʰui5	～水，～换
792	ʦ	ui	451	最	ʦui451	ʦui5	～好
793	f	ei	21	會	fei21	fei3	～计
794	k	y	451	劊	ky451	ky5	～子手
796	ŋ	ɔi	21	外	ŋɔi21	ŋɔi3	～面
797	f	ei	21	會	fei21	fei3	开～
798	f	ei	21	會	fei21	fei3	～睡，～来
799	v	æk	21	繪	væk21	væk8a	～图，测～
800	k	ai	33	乖	kai33	kai1a	小孩听话
801	k	ai	451	怪	kai451	kai5	奇～
802	v	ai	213	懷	vai213	vai2	～疑
803	f	ai	213	槐	fai213	fai2	～树
804	v	ai	213	淮	vai213	vai2	～河，～北
805	v	ai	21	壞	vai21	vai3	～人
806	k	uai	21	拐	kuai21	kuai3	～卖，铁～李
807	k	uai	21	拐	kuai21	kuai3	～脚（瘸腿）
808	kʰ	a	451	掛	kʰa451	kʰa5	～起来，牵～，～钩
809	k	ua	451	卦	kua451	kua5	八～
810	v	ai	45	歪	vai45	vai1b	～风邪气
811	v	æk	21	畫	væk21	væk8a	～图，图～
812	f	ai	451	快	fai451	fai5	～车
813	f	ai	451	筷	fai451	fai5	公～
814	v	a	21	話	va21	va3	笑～，讲～[文，名]
815	v	a	21	話	va21	va3	讲～[白，名]
816	v	a	21	話	va21	va3	说[白，动]
817	ʦʰ	ui	451	脆	ʦʰui451	ʦʰui5	干～[文]
818	ʦʰ	ui	451	脆	ʦʰui451	ʦʰui5	易断[白]
819	ɬ	ɔi	451	歲	ɬɔi451	ɬɔi5	万～，～月[文]
820	ɬ	ɔi	451	歲	ɬɔi451	ɬɔi5	十～，～数[白]
821	ʦʰ	ui	21	綴	ʦʰui21	ʦʰui3	点～
822	ʦʰ	ui	21	贅	ʦʰui21	ʦʰui3	累～，入～
823	s	ɔi	451	稅	sɔi451	sɔi5	交～，～收
824	v	ei	21	衛	vei21	vei3	～生
825	j	ui	21	鋭	jui21	jui3	尖～，～角
826	f	ei	451	廢	fei451	fei5	～品，作～
827	f	ei	451	肺	fei451	fei5	猪～
828	h	ian	21	吠	hian21	hian3	狗～
829	j	i	213	穢	ji213	ji2	淫～，污～
830	k	uɐi	213	圭	kuɐi213	kuɐi2	人名用字；乌拉～
831	k	uɐi	33	閨	kuɐi33	kuɐi1a	～房
832	k	uɐi	451	桂	kuɐi451	kuɐi5	～花
833	kʰ	uɐi	213	奎	kʰuɐi213	kʰuɐi2	人名用字；～宁（药名）
834	kʰ	uɐi	213	攜	kʰuɐi213	kʰuɐi2	～带，提～
835	v	ɐi	21	惠	vɐi21	vɐi3	～州，优～
836	v	ɐi	21	慧	vɐi21	vɐi3	智～
837	p	i	33	碑	pi33	pi1a	石～，～文
838	p	i	33	卑	pi33	pi1a	自～，～鄙
839	pʰ	i	21	彼	pʰi21	pʰi3	～此
840	p	i	451	臂	pi451	pi5	手～，～力
841	pʰ	i	33	披	pʰi33	pʰi1a	～肩，～露
842	p	i	21	譬	pi21	pi3	～喻，～如
843	pʰ	i	213	皮	pʰi213	pʰi2	调～，～肤
844	pʰ	i	213	疲	pʰi213	pʰi2	～劳
845	pʰ	i	213	脾	pʰi213	pʰi2	～胃，～气
846	pʰ	i	33	被	pʰi33	pʰi1a	被子，毛巾～
848	pʰ	i	21	被	pʰi21	pʰi3	～动，～迫
849	pʰ	i	21	避	pʰi21	pʰi3	逃～
850	f	u	213	糜	fu213	fu2	～烂；粥
851	ȵ	i	213	彌	ȵi213	ȵi2	～补，阿～陀佛
852	l	i	213	離	li213	li2	～別，～开
853	l	i	213	籬	li213	li2	～笆
854	l	i	213	璃	li213	li2	玻～
855	l	i	213	荔	li213	li2	～枝
856	ʦ	i	21	紫	ʦi21	ʦi3	～色
857	ʦʰ	i	33	雌	ʦʰi33	ʦʰi1a	～雄
858	ʦʰ	i	21	此	ʦʰi21	ʦʰi3	到～为止
859	ʦʰ	i	451	刺	ʦʰi451	ʦʰi5	～激，穿～
860	ʦʰ	i	33	疵	ʦʰi33	ʦʰi1a	瑕～，吹毛求～
861	s	ia	33	斯	sia33	sia1a	～大林
862	s	i	33	撕	si33	si1a	～烂
863	s	ai	21	璽	sai21	sai3	玉～
865	ʦʰ	i	451	賜	ʦʰi451	ʦʰi5	赏～
866	ʦ	i	33	知	ʦi33	ʦi1a	通～，～道，无～[文]
867	ʦ	i	33	知	ʦi33	ʦi1a	～识[文]
868	ʦ	i	33	知	ʦi33	ʦi1a	知道，唔～[白]
869	ʦ	i	33	蜘	ʦi33	ʦi1a	～蛛
870	ʦ	i	451	智	ʦi451	ʦi5	～慧
871	ʦʰ	i	213	池	ʦʰi213	ʦʰi2	水～
872	ʦʰ	i	213	馳	ʦʰi213	ʦʰi2	奔～
873	ʦʰ	ai	33	差	ʦʰai33	ʦʰai1a	参～不齐
874	ɬ	i	33	篩	ɬi33	ɬi1a	谷～，米～
875	ʦ	i	45	支	ʦi45	ʦi1b	两～笔[白，量]
876	ʦ	i	33	支	ʦi33	ʦi1a	～持，天干地～[文]
877	ʦ	i	33	枝	ʦi33	ʦi1a	树～
878	ʦ	i	33	肢	ʦi33	ʦi1a	四～，～体
879	ʦ	i	33	梔	ʦi33	ʦi1a	黄～（水横枝、黄果）
880	ʦ	i	21	紙	ʦi21	ʦi3	白～
881	ʦ	ɐt	45	只	ʦɐt45	ʦɐt7	～有
882	kʰ	i	33	侈	kʰi33	kʰi1a	奢～
883	s	ai	21	舐	sai21	sai3	舔
884	s	i	33	施	si33	si1a	措～；姓
885	ʦʰ	i	451	翅	ʦʰi451	ʦʰi5	鱼～
886	s	i	213	匙	si213	si2	锁～，汤～
887	s	i	21	是	si21	si3	～否，～非
888	s	ɐt	21	氏	sɐt21	sɐt8a	姓～
889	s	i	21	豉	si21	si3	豆～
890	ȵ	i	213	兒	ȵi213	ȵi2	～童
891	ȵ	i	213	爾	ȵi213	ȵi2	～虞我诈；保～（人名）
892	k	i	451	寄	ki451	ki5	～信，～托
894	kʰ	i	33	企	kʰi33	kʰi1a	～业，～鹅
895	k	i	213	奇	ki213	ki2	～怪
896	kʰ	i	213	騎	kʰi213	kʰi2	～马
897	kʰ	i	213	騎	kʰi213	kʰi2	～楼
898	kʰ	i	213	岐	kʰi213	kʰi2	～山
899	kʰ	i	33	徛	kʰi33	kʰi1a	站立；（山）斜度高
900	kʰ	i	451	技	kʰi451	kʰi5	～术[文]
901	kʰ	i	451	技	kʰi451	kʰi5	杂～[白]
902	kʰ	i	451	妓	kʰi451	kʰi5	～女
903	ȵ	i	213	宜	ȵi213	ȵi2	适～，～昌
904	ȵ	i	213	儀	ȵi213	ȵi2	礼～，～式
905	ȵ	ɛ	451	蟻	ȵɛ451	ȵɛ5	蚂蚁，白～
906	ȵ	i	213	誼	ȵi213	ȵi2	友～
907	ȵ	i	451	義	ȵi451	ȵi5	情～，～气
908	ȵ	i	451	議	ȵi451	ȵi5	～论，会～
909	h	i	33	犠	hi33	hi1a	～牲
910	h	i	451	戲	hi451	hi5	做～
911	j	i	21	倚	ji21	ji3	～靠，～老卖老
912	j	i	21	椅	ji21	ji3	椅子，藤～
913	j	i	213	移	ji213	ji2	～动
914	j	i	21	易	ji21	ji3	容～
915	p	i	33	悲	pi33	pi1a	～伤
916	p	i	33	鄙	pi33	pi1a	卑～，～视[文]
917	p	i	33	鄙	pi33	pi1a	差劲[白]
918	p	i	21	比	pi21	pi3	～较，对～
919	p	i	451	祕	pi451	pi5	～书，～密
920	p	i	451	泌	pi451	pi5	分～；滤出汤汁
921	p	i	451	庇	pi451	pi5	包～，～护
922	p	i	451	痹	pi451	pi5	麻～
923	pʰ	i	33	丕	pʰi33	pʰi1a	人名用字，曹～
924	pʰ	i	451	屁	pʰi451	pʰi5	放～
925	pʰ	i	451	琵	pʰi451	pʰi5	～琶
926	pʰ	i	213	枇	pʰi213	pʰi2	～杷
927	pʰ	i	21	備	pʰi21	pʰi3	准～，～用
928	pʰ	i	21	鼻	pʰi21	pʰi3	鼻子；鼻涕
929	k	ɛ	451	篦	kɛ451	kɛ5	篦子（很密的梳子）
